news_id,supplier_id,title,severity,impact_score,date,month
EVT_SUP000032_33,SUP000032,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2023-09-05,Month_33
EVT_SUP000032_34,SUP000032,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2023-10-15,Month_34
EVT_SUP000032_39,SUP000032,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2024-03-10,Month_39
EVT_SUP000032_40,SUP000032,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2024-04-21,Month_40
EVT_SUP000032_41,SUP000032,Local Power Grid Failures near operations hub,MEDIUM,12,2024-05-06,Month_41
EVT_SUP000032_46,SUP000032,Regional Port Congestion delays near operations hub,MEDIUM,10,2024-10-10,Month_46
EVT_SUP000032_53,SUP000032,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2025-05-05,Month_53
EVT_SUP000032_56,SUP000032,Factory Fire Incidents near operations hub,CRITICAL,30,2025-08-19,Month_56
EVT_SUP000032_59,SUP000032,Local Power Grid Failures near operations hub,MEDIUM,12,2025-11-12,Month_59
EVT_SUP000033_14,SUP000033,Local Power Grid Failures near operations hub,MEDIUM,12,2022-02-20,Month_14
EVT_SUP000033_22,SUP000033,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2022-10-25,Month_22
EVT_SUP000033_29,SUP000033,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2023-05-12,Month_29
EVT_SUP000033_42,SUP000033,IT Operations Cyber Security Incident near operations hub,HIGH,20,2024-06-11,Month_42
EVT_SUP000034_51,SUP000034,Local Power Grid Failures near operations hub,MEDIUM,12,2025-03-25,Month_51
EVT_SUP000035_24,SUP000035,Labor Union Strike near operations hub,HIGH,20,2022-12-05,Month_24
EVT_SUP000037_04,SUP000037,IT Operations Cyber Security Incident near operations hub,HIGH,20,2021-04-18,Month_04
EVT_SUP000037_21,SUP000037,Regional Port Congestion delays near operations hub,MEDIUM,10,2022-09-20,Month_21
EVT_SUP000037_34,SUP000037,Monsoon Flood Logistics Interruption near operations hub,HIGH,25,2023-10-22,Month_34
EVT_SUP000038_03,SUP000038,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2021-03-25,Month_03
EVT_SUP000038_05,SUP000038,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2021-05-18,Month_05
EVT_SUP000038_13,SUP000038,Monsoon Flood Logistics Interruption near operations hub,HIGH,25,2022-01-24,Month_13
EVT_SUP000038_21,SUP000038,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2022-09-10,Month_21
EVT_SUP000038_23,SUP000038,Labor Union Strike near operations hub,HIGH,20,2022-11-21,Month_23
EVT_SUP000038_26,SUP000038,Labor Union Strike near operations hub,HIGH,20,2023-02-16,Month_26
EVT_SUP000038_44,SUP000038,Local Power Grid Failures near operations hub,MEDIUM,12,2024-08-08,Month_44
EVT_SUP000038_58,SUP000038,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2025-10-25,Month_58
EVT_SUP000039_07,SUP000039,Factory Fire Incidents near operations hub,CRITICAL,30,2021-07-23,Month_07
EVT_SUP000039_14,SUP000039,Regional Port Congestion delays near operations hub,MEDIUM,10,2022-02-11,Month_14
EVT_SUP000039_24,SUP000039,Labor Union Strike near operations hub,HIGH,20,2022-12-22,Month_24
EVT_SUP000039_57,SUP000039,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2025-09-19,Month_57
EVT_SUP000040_05,SUP000040,Regional Port Congestion delays near operations hub,MEDIUM,10,2021-05-13,Month_05
EVT_SUP000040_28,SUP000040,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2023-04-12,Month_28
EVT_SUP000040_38,SUP000040,Factory Fire Incidents near operations hub,CRITICAL,30,2024-02-13,Month_38
EVT_SUP000041_38,SUP000041,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2024-02-20,Month_38
EVT_SUP000042_22,SUP000042,Local Power Grid Failures near operations hub,MEDIUM,12,2022-10-25,Month_22
EVT_SUP000042_58,SUP000042,Labor Union Strike near operations hub,HIGH,20,2025-10-17,Month_58
EVT_SUP000042_60,SUP000042,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2025-12-05,Month_60
EVT_SUP000043_16,SUP000043,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2022-04-23,Month_16
EVT_SUP000043_31,SUP000043,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2023-07-13,Month_31
EVT_SUP000043_40,SUP000043,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2024-04-17,Month_40
EVT_SUP000043_59,SUP000043,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2025-11-12,Month_59
EVT_SUP000044_36,SUP000044,IT Operations Cyber Security Incident near operations hub,HIGH,20,2023-12-16,Month_36
EVT_SUP000046_01,SUP000046,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2021-01-06,Month_01
EVT_SUP000046_15,SUP000046,Monsoon Flood Logistics Interruption near operations hub,HIGH,25,2022-03-22,Month_15
EVT_SUP000046_51,SUP000046,Labor Union Strike near operations hub,HIGH,20,2025-03-15,Month_51
EVT_SUP000047_02,SUP000047,IT Operations Cyber Security Incident near operations hub,HIGH,20,2021-02-23,Month_02
EVT_SUP000047_06,SUP000047,Local Power Grid Failures near operations hub,MEDIUM,12,2021-06-09,Month_06
EVT_SUP000047_21,SUP000047,Local Power Grid Failures near operations hub,MEDIUM,12,2022-09-06,Month_21
EVT_SUP000047_26,SUP000047,Monsoon Flood Logistics Interruption near operations hub,HIGH,25,2023-02-09,Month_26
EVT_SUP000047_28,SUP000047,Local Power Grid Failures near operations hub,MEDIUM,12,2023-04-21,Month_28
EVT_SUP000047_42,SUP000047,Labor Union Strike near operations hub,HIGH,20,2024-06-20,Month_42
EVT_SUP000047_55,SUP000047,Local Power Grid Failures near operations hub,MEDIUM,12,2025-07-17,Month_55
EVT_SUP000049_07,SUP000049,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2021-07-19,Month_07
EVT_SUP000049_56,SUP000049,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2025-08-20,Month_56
EVT_SUP000050_09,SUP000050,Labor Union Strike near operations hub,HIGH,20,2021-09-18,Month_09
EVT_SUP000050_21,SUP000050,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2022-09-06,Month_21
EVT_SUP000050_33,SUP000050,Monsoon Flood Logistics Interruption near operations hub,HIGH,25,2023-09-10,Month_33
EVT_SUP000050_36,SUP000050,Local Power Grid Failures near operations hub,MEDIUM,12,2023-12-08,Month_36
EVT_SUP000050_46,SUP000050,Labor Union Strike near operations hub,HIGH,20,2024-10-16,Month_46
EVT_SUP000050_50,SUP000050,Local Power Grid Failures near operations hub,MEDIUM,12,2025-02-13,Month_50
EVT_SUP000050_59,SUP000050,Factory Fire Incidents near operations hub,CRITICAL,30,2025-11-07,Month_59
EVT_SUP000052_13,SUP000052,Regional Port Congestion delays near operations hub,MEDIUM,10,2022-01-15,Month_13
EVT_SUP000053_16,SUP000053,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2022-04-09,Month_16
EVT_SUP000053_41,SUP000053,Labor Union Strike near operations hub,HIGH,20,2024-05-12,Month_41
EVT_SUP000053_47,SUP000053,Labor Union Strike near operations hub,HIGH,20,2024-11-19,Month_47
EVT_SUP000054_07,SUP000054,Labor Union Strike near operations hub,HIGH,20,2021-07-23,Month_07
EVT_SUP000054_29,SUP000054,Labor Union Strike near operations hub,HIGH,20,2023-05-20,Month_29
EVT_SUP000054_42,SUP000054,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2024-06-18,Month_42
EVT_SUP000054_44,SUP000054,Monsoon Flood Logistics Interruption near operations hub,HIGH,25,2024-08-17,Month_44
EVT_SUP000054_47,SUP000054,Monsoon Flood Logistics Interruption near operations hub,HIGH,25,2024-11-12,Month_47
EVT_SUP000055_02,SUP000055,Factory Fire Incidents near operations hub,CRITICAL,30,2021-02-05,Month_02
EVT_SUP000055_44,SUP000055,Labor Union Strike near operations hub,HIGH,20,2024-08-25,Month_44
EVT_SUP000055_60,SUP000055,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2025-12-09,Month_60
EVT_SUP000057_15,SUP000057,Regional Port Congestion delays near operations hub,MEDIUM,10,2022-03-07,Month_15
EVT_SUP000057_30,SUP000057,Local Power Grid Failures near operations hub,MEDIUM,12,2023-06-22,Month_30
EVT_SUP000057_43,SUP000057,Factory Fire Incidents near operations hub,CRITICAL,30,2024-07-24,Month_43
EVT_SUP000058_17,SUP000058,Local Power Grid Failures near operations hub,MEDIUM,12,2022-05-23,Month_17
EVT_SUP000058_21,SUP000058,Labor Union Strike near operations hub,HIGH,20,2022-09-12,Month_21
EVT_SUP000058_42,SUP000058,IT Operations Cyber Security Incident near operations hub,HIGH,20,2024-06-24,Month_42
EVT_SUP000058_59,SUP000058,IT Operations Cyber Security Incident near operations hub,HIGH,20,2025-11-05,Month_59
EVT_SUP000059_01,SUP000059,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2021-01-16,Month_01
EVT_SUP000059_13,SUP000059,Factory Fire Incidents near operations hub,CRITICAL,30,2022-01-13,Month_13
EVT_SUP000060_21,SUP000060,IT Operations Cyber Security Incident near operations hub,HIGH,20,2022-09-10,Month_21
EVT_SUP000060_23,SUP000060,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2022-11-18,Month_23
EVT_SUP000060_26,SUP000060,Factory Fire Incidents near operations hub,CRITICAL,30,2023-02-18,Month_26
EVT_SUP000060_28,SUP000060,Labor Union Strike near operations hub,HIGH,20,2023-04-16,Month_28
EVT_SUP000060_37,SUP000060,Factory Fire Incidents near operations hub,CRITICAL,30,2024-01-13,Month_37
EVT_SUP000060_53,SUP000060,Regional Port Congestion delays near operations hub,MEDIUM,10,2025-05-11,Month_53
EVT_SUP000061_07,SUP000061,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2021-07-18,Month_07
EVT_SUP000061_23,SUP000061,Factory Fire Incidents near operations hub,CRITICAL,30,2022-11-11,Month_23
EVT_SUP000061_24,SUP000061,Regional Port Congestion delays near operations hub,MEDIUM,10,2022-12-11,Month_24
EVT_SUP000061_25,SUP000061,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2023-01-19,Month_25
EVT_SUP000061_27,SUP000061,Factory Fire Incidents near operations hub,CRITICAL,30,2023-03-25,Month_27
EVT_SUP000061_38,SUP000061,IT Operations Cyber Security Incident near operations hub,HIGH,20,2024-02-10,Month_38
EVT_SUP000061_55,SUP000061,IT Operations Cyber Security Incident near operations hub,HIGH,20,2025-07-15,Month_55
EVT_SUP000062_38,SUP000062,Factory Fire Incidents near operations hub,CRITICAL,30,2024-02-07,Month_38
EVT_SUP000063_37,SUP000063,Local Power Grid Failures near operations hub,MEDIUM,12,2024-01-20,Month_37
EVT_SUP000064_40,SUP000064,Monsoon Flood Logistics Interruption near operations hub,HIGH,25,2024-04-05,Month_40
EVT_SUP000064_47,SUP000064,Regional Port Congestion delays near operations hub,MEDIUM,10,2024-11-25,Month_47
EVT_SUP000065_35,SUP000065,Local Power Grid Failures near operations hub,MEDIUM,12,2023-11-13,Month_35
EVT_SUP000065_45,SUP000065,Labor Union Strike near operations hub,HIGH,20,2024-09-23,Month_45
EVT_SUP000066_40,SUP000066,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2024-04-14,Month_40
EVT_SUP000066_41,SUP000066,Monsoon Flood Logistics Interruption near operations hub,HIGH,25,2024-05-10,Month_41
EVT_SUP000067_08,SUP000067,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2021-08-11,Month_08
EVT_SUP000067_50,SUP000067,Factory Fire Incidents near operations hub,CRITICAL,30,2025-02-24,Month_50
EVT_SUP000067_56,SUP000067,Labor Union Strike near operations hub,HIGH,20,2025-08-20,Month_56
EVT_SUP000068_05,SUP000068,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2021-05-08,Month_05
EVT_SUP000068_09,SUP000068,IT Operations Cyber Security Incident near operations hub,HIGH,20,2021-09-07,Month_09
EVT_SUP000068_14,SUP000068,Regional Port Congestion delays near operations hub,MEDIUM,10,2022-02-06,Month_14
EVT_SUP000068_15,SUP000068,Local Power Grid Failures near operations hub,MEDIUM,12,2022-03-12,Month_15
EVT_SUP000068_21,SUP000068,Local Power Grid Failures near operations hub,MEDIUM,12,2022-09-18,Month_21
EVT_SUP000068_22,SUP000068,IT Operations Cyber Security Incident near operations hub,HIGH,20,2022-10-14,Month_22
EVT_SUP000068_24,SUP000068,Labor Union Strike near operations hub,HIGH,20,2022-12-09,Month_24
EVT_SUP000068_34,SUP000068,Factory Fire Incidents near operations hub,CRITICAL,30,2023-10-08,Month_34
EVT_SUP000068_36,SUP000068,Regional Port Congestion delays near operations hub,MEDIUM,10,2023-12-25,Month_36
EVT_SUP000068_38,SUP000068,Labor Union Strike near operations hub,HIGH,20,2024-02-11,Month_38
EVT_SUP000068_40,SUP000068,Local Power Grid Failures near operations hub,MEDIUM,12,2024-04-14,Month_40
EVT_SUP000068_41,SUP000068,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2024-05-13,Month_41
EVT_SUP000068_46,SUP000068,Labor Union Strike near operations hub,HIGH,20,2024-10-17,Month_46
EVT_SUP000068_49,SUP000068,Labor Union Strike near operations hub,HIGH,20,2025-01-07,Month_49
EVT_SUP000068_51,SUP000068,Labor Union Strike near operations hub,HIGH,20,2025-03-13,Month_51
EVT_SUP000068_55,SUP000068,Regional Port Congestion delays near operations hub,MEDIUM,10,2025-07-24,Month_55
EVT_SUP000068_57,SUP000068,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2025-09-11,Month_57
EVT_SUP000069_16,SUP000069,Labor Union Strike near operations hub,HIGH,20,2022-04-19,Month_16
EVT_SUP000070_13,SUP000070,Monsoon Flood Logistics Interruption near operations hub,HIGH,25,2022-01-11,Month_13
EVT_SUP000070_38,SUP000070,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2024-02-17,Month_38
EVT_SUP000070_42,SUP000070,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2024-06-06,Month_42
EVT_SUP000071_22,SUP000071,Monsoon Flood Logistics Interruption near operations hub,HIGH,25,2022-10-14,Month_22
EVT_SUP000071_30,SUP000071,IT Operations Cyber Security Incident near operations hub,HIGH,20,2023-06-19,Month_30
EVT_SUP000072_33,SUP000072,Monsoon Flood Logistics Interruption near operations hub,HIGH,25,2023-09-19,Month_33
EVT_SUP000072_41,SUP000072,Regional Port Congestion delays near operations hub,MEDIUM,10,2024-05-19,Month_41
EVT_SUP000075_30,SUP000075,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2023-06-21,Month_30
EVT_SUP000076_06,SUP000076,Monsoon Flood Logistics Interruption near operations hub,HIGH,25,2021-06-08,Month_06
EVT_SUP000076_22,SUP000076,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2022-10-15,Month_22
EVT_SUP000076_25,SUP000076,IT Operations Cyber Security Incident near operations hub,HIGH,20,2023-01-12,Month_25
EVT_SUP000076_55,SUP000076,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2025-07-14,Month_55
EVT_SUP000079_16,SUP000079,Regional Port Congestion delays near operations hub,MEDIUM,10,2022-04-23,Month_16
EVT_SUP000079_29,SUP000079,Monsoon Flood Logistics Interruption near operations hub,HIGH,25,2023-05-20,Month_29
EVT_SUP000079_42,SUP000079,Regional Port Congestion delays near operations hub,MEDIUM,10,2024-06-16,Month_42
EVT_SUP000079_51,SUP000079,IT Operations Cyber Security Incident near operations hub,HIGH,20,2025-03-11,Month_51
EVT_SUP000079_52,SUP000079,Factory Fire Incidents near operations hub,CRITICAL,30,2025-04-06,Month_52
EVT_SUP000079_57,SUP000079,IT Operations Cyber Security Incident near operations hub,HIGH,20,2025-09-17,Month_57
EVT_SUP000080_24,SUP000080,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2022-12-06,Month_24
EVT_SUP000081_04,SUP000081,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2021-04-15,Month_04
EVT_SUP000081_14,SUP000081,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2022-02-09,Month_14
EVT_SUP000081_15,SUP000081,Labor Union Strike near operations hub,HIGH,20,2022-03-09,Month_15
EVT_SUP000081_31,SUP000081,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2023-07-21,Month_31
EVT_SUP000081_33,SUP000081,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2023-09-15,Month_33
EVT_SUP000081_34,SUP000081,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2023-10-09,Month_34
EVT_SUP000081_48,SUP000081,Factory Fire Incidents near operations hub,CRITICAL,30,2024-12-17,Month_48
EVT_SUP000081_60,SUP000081,Factory Fire Incidents near operations hub,CRITICAL,30,2025-12-11,Month_60
EVT_SUP000083_46,SUP000083,Regional Port Congestion delays near operations hub,MEDIUM,10,2024-10-13,Month_46
EVT_SUP000083_48,SUP000083,Regional Port Congestion delays near operations hub,MEDIUM,10,2024-12-09,Month_48
EVT_SUP000083_50,SUP000083,Regional Port Congestion delays near operations hub,MEDIUM,10,2025-02-05,Month_50
EVT_SUP000083_52,SUP000083,Regional Port Congestion delays near operations hub,MEDIUM,10,2025-04-06,Month_52
EVT_SUP000085_39,SUP000085,Local Power Grid Failures near operations hub,MEDIUM,12,2024-03-13,Month_39
EVT_SUP000085_42,SUP000085,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2024-06-12,Month_42
EVT_SUP000086_13,SUP000086,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2022-01-14,Month_13
EVT_SUP000086_22,SUP000086,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2022-10-25,Month_22
EVT_SUP000087_32,SUP000087,Labor Union Strike near operations hub,HIGH,20,2023-08-14,Month_32
EVT_SUP000087_52,SUP000087,IT Operations Cyber Security Incident near operations hub,HIGH,20,2025-04-22,Month_52
EVT_SUP000089_01,SUP000089,Raw Material Supply Bottlenecks near operations hub,HIGH,18,2021-01-12,Month_01
EVT_SUP000090_15,SUP000090,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2022-03-13,Month_15
EVT_SUP000090_21,SUP000090,Local Power Grid Failures near operations hub,MEDIUM,12,2022-09-09,Month_21
EVT_SUP000090_29,SUP000090,IT Operations Cyber Security Incident near operations hub,HIGH,20,2023-05-23,Month_29
EVT_SUP000090_48,SUP000090,IT Operations Cyber Security Incident near operations hub,HIGH,20,2024-12-08,Month_48
EVT_SUP000090_60,SUP000090,Export Tariff Policy Shifts near operations hub,MEDIUM,15,2025-12-14,Month_60
EVT_SUP000092_14,SUP000092,Factory Fire Incidents near operations hub,CRITICAL,30,2022-02-17,Month_14
